iter	Passed	Remaining
406	6340	9237
407	6350	9215
408	6368	9201
409	6379	9180
410	6394	9163
411	6409	9147
412	6426	9134
413	6442	9118
414	6453	9097
415	6465	9076
416	6479	9059
417	6492	9040
418	6507	9023
419	6527	9013
420	6541	8997
421	6555	8979
422	6572	8965
423	6586	8947
424	6598	8927
425	6607	8902
426	6625	8891
427	6637	8870
428	6652	8854
429	6667	8838
430	6686	8827
431	6700	8810
432	6714	8792
433	6734	8782
434	6746	8762
435	6760	8745
436	6770	8722
437	6785	8706
438	6803	8694
439	6818	8677
440	6830	8658
441	6847	8644
442	6863	8629
443	6879	8615
444	6894	8598
445	6908	8581
446	6930	8573
447	6943	8555
448	6959	8540
449	6973	8522
450	6984	8502
451	6994	8480
452	7010	8464
453	7023	8447
454	7044	8438
455	7057	8419
456	7069	8399
457	7085	8384
458	7102	8371
459	7111	8347
460	7137	8344
461	7146	8322
462	7160	8305
463	7183	8298
464	7206	8291
465	7220	8274
466	7236	8259
467	7254	8246
468	7269	8230
469	7281	8211
470	7298	8197
471	7307	8174
472	7329	8165
473	7340	8145
474	7350	8124
475	7362	8105
476	7379	8091
477	7388	8068
478	7404	8053
479	7418	8036
480	7430	8017
481	7438	7994
482	7466	7992
483	7485	7980
484	7502	7966
485	7515	7948
486	7536	7939
487	7551	7922
488	7569	7910
489	7584	7894
490	7603	7881
491	7618	7866
492	7628	7845
493	7647	7833
494	7663	7818
495	7680	7804
496	7697	7790
497	7711	7773
498	7731	7762
499	7744	7744
500	7760	7730
501	7782	7720
502	7794	7701
503	7812	7688
504	7827	7672
505	7845	7659
506	7867	7649
507	7877	7629
508	7905	7626
509	7916	7606
510	7925	7584
511	7943	7571
512	7961	7558
513	7978	7543
514	7993	7527
515	8006	7510
516	8028	7500
517	8039	7480
518	8053	7464
519	8073	7452
520	8089	7437
521	8107	7424
522	8121	7407
523	8135	7390
524	8154	7377
525	8173	7365
526	8184	7345
527	8198	7328
528	8211	7310
529	8222	7291
530	8233	7272
531	8254	7261
532	8267	7244
533	8280	7226
534	8303	7217
535	8317	7200
536	8335	7186
537	8352	7172
538	8365	7154
539	8381	7139
540	8400	7127
541	8418	7113
542	8429	7094
543	8447	7081
544	8460	7063
545	8469	7042
546	8479	7022
547	8499	7010
548	8514	6994
549	8525	6975
550	8534	6954
551	8548	6937
552	8563	6922
553	8579	6907
554	8597	6893
555	8608	6874
556	8627	6861
557	8641	6844
558	8656	6829
559	8675	6816
560	8695	6804
561	8708	6787
562	8726	6773
563	8741	6757
564	8753	6739
565	8766	6721
566	8784	6708
567	8793	6688
568	8810	6673
569	8824	6657
570	8836	6638
571	8852	6624
572	8869	6609
573	8881	6591
574	8892	6572
575	8908	6557
576	8918	6538
577	8935	6523
578	8949	6507
579	8965	6491
580	8977	6474
581	8987	6455
582	8998	6436
583	9013	6420
584	9031	6407
585	9043	6389
586	9053	6370
587	9071	6355
588	9085	6339
589	9105	6327
590	9118	6310
591	9147	6304
592	9160	6287
593	9170	6268
