iter	Logloss
120	0.2065926618
121	0.2064798426
122	0.2063441511
123	0.2060826574
124	0.2059066428
125	0.2058290025
126	0.2056123444
127	0.2054767509
128	0.2053559245
129	0.2051934147
130	0.2050504375
131	0.2048746474
132	0.2047990168
133	0.204701387
134	0.2045818567
135	0.2044723604
136	0.2043020985
137	0.2041787984
138	0.204098952
139	0.2039437847
140	0.2038668498
141	0.2036757505
142	0.2034643072
143	0.2031929798
144	0.2031165404
145	0.203101836
146	0.2030358348
147	0.2028028764
148	0.2027218933
149	0.2026543012
150	0.2024746364
151	0.2023507142
152	0.2022250548
153	0.2020523633
154	0.2019694614
155	0.2018172688
156	0.2017382156
157	0.2016528874
158	0.2015046464
159	0.2014231858
160	0.2013221424
161	0.201217133
162	0.201101013
163	0.2010254005
164	0.2009560726
165	0.200815923
166	0.2006756966
167	0.2005219003
168	0.2004630215
169	0.2003468511
170	0.2002249793
171	0.2001657219
172	0.2000257772
173	0.1999753463
174	0.1999202323
175	0.1998199335
176	0.1997103286
177	0.1996252221
178	0.1995526407
179	0.199474402
180	0.199406868
181	0.1993010597
182	0.1992703985
183	0.1990577555
184	0.1990330809
185	0.1988875057
186	0.1987468694
187	0.19864539
188	0.1985984688
189	0.1985051664
190	0.1984255921
191	0.1983621929
192	0.1982390537
193	0.1981453504
194	0.1980136466
195	0.197941109
196	0.1979076934
197	0.1978699887
198	0.1977533799
199	0.1975928287
200	0.1975072733
201	0.1972678356
202	0.1972017735
203	0.197126332
204	0.1970968772
205	0.1970280367
206	0.1968224209
207	0.1967543032
208	0.1966189907
209	0.1965768227
210	0.196456836
211	0.1964001767
212	0.1962777147
213	0.1961084793
214	0.1960531657
215	0.1959986626
216	0.1958225595
217	0.1957300735
218	0.1956756697
219	0.1955556372
220	0.1954000162
221	0.1953126947
222	0.1951812946
223	0.1951441274
224	0.1949792824
225	0.1949175216
226	0.1948688452
227	0.1947920953
228	0.1946112395
229	0.194457544
230	0.1943753531
231	0.194296687
232	0.1942229476
233	0.1941605094
234	0.1940868958
235	0.1940055235
236	0.1939084305
237	0.1938157902
238	0.1937530006
239	0.1935425453
240	0.1934566606
241	0.1934090153
242	0.1932427187
243	0.1931457637
244	0.19307129
245	0.1930202224
246	0.1929007723
247	0.1927991496
248	0.1927260338
249	0.192624965
250	0.1925888401
251	0.1925609415
252	0.1924725177
253	0.1924125143
254	0.1923558713
255	0.1922168663
256	0.1920017965
257	0.1919438352
258	0.1917498405
259	0.1916776183
260	0.191575372
261	0.1914977715
262	0.1914284649
263	0.191270123
264	0.1912304641
265	0.1911008293
266	0.1910276576
267	0.1908851307
268	0.190836559
269	0.190803025
270	0.1907629169
271	0.190717986
272	0.1906027507
273	0.1905435081
274	0.1903877218
275	0.1902716485
276	0.1902190001
277	0.1901571519
278	0.190085195
279	0.1899954846
280	0.1899056306
281	0.1898285665
282	0.1897795167
283	0.1896950466
284	0.189587449
285	0.1895389388
286	0.1894957078
287	0.1894400519
288	0.1893677364
289	0.1892433782
290	0.1891832935
291	0.189059576
292	0.1889282435
293	0.1888183178
294	0.1886648992
295	0.1886121652
296	0.1885341394
297	0.1884125367
298	0.1883260935
299	0.1882801358
300	0.1882086783
301	0.1882005621
302	0.188127395
303	0.1880492496
304	0.1879631089
305	0.1879538413
306	0.1878636931
307	0.1878076576
308	0.1877283133
309	0.1876491065
310	0.1875811558
311	0.187540537
312	0.1873925169
313	0.1872784697
314	0.1871803536
315	0.1871211647
316	0.1869524453
317	0.1868808413
318	0.1868740527
319	0.186798991
320	0.1867195061
321	0.1865631636
322	0.1864965101
323	0.1864185683
324	0.1863843106
325	0.186317408
326	0.1861844937
327	0.1861243978
328	0.1860628753
329	0.185964507
330	0.1858359646
331	0.185748374
332	0.1856840514
333	0.1856783515
334	0.1855997817
335	0.1854772994
336	0.1854289521
337	0.1854230801
338	0.1854182338
339	0.1853581469
340	0.1853270672
341	0.185321376
342	0.1852800146
343	0.1851937509
344	0.1851217844
345	0.185095211
346	0.1850333318
347	0.1849786446
348	0.1849279229
349	0.1848930517
350	0.1848785922
351	0.1848261554
352	0.1848194254
353	0.1847637637
354	0.1847132797
355	0.1846106753
356	0.1845167923
357	0.184400891
358	0.1843434404
359	0.1842710264
360	0.1842216059
361	0.1841953289
362	0.1841452776
363	0.1841056257
364	0.1839683083
365	0.1839032883
366	0.1838561506
367	0.1837674299
368	0.1837343978
369	0.1836989025
370	0.1836340992
371	0.1835372659
372	0.1834307719
373	0.1832950553
374	0.1832382504
375	0.1831912987
376	0.183144861
377	0.1830808197
378	0.1830376111
379	0.1829693598
380	0.1828999207
381	0.1828762692
382	0.1828113383
383	0.1827044524
384	0.1826455643
385	0.1825843006
386	0.1825354589
387	0.182494282
388	0.1824229921
389	0.1823798159
390	0.1822876136
391	0.1821126114
392	0.1820696752
393	0.181973905
394	0.1819197225
395	0.1818551379
396	0.1818034495
397	0.1817561839
398	0.1816887071
399	0.181597845
400	0.1815346426
401	0.1814814512
402	0.1814291401
403	0.1813525383
404	0.1813147148
405	0.1812356003
406	0.1811646011
407	0.1810731285
408	0.1810057291
409	0.1809608916
410	0.1808760954
411	0.1808289429
412	0.1807532058
413	0.1805837929
414	0.1805402595
415	0.1804333834
416	0.1804043329
417	0.1802970702
418	0.1802188627
419	0.1801625378
420	0.1801101538
421	0.1799582828
422	0.1799091619
423	0.1798566363
424	0.1798020265
425	0.1797637138
426	0.1797196261
427	0.1796794083
428	0.1794930753
429	0.1793991567
430	0.1792508331
431	0.1792160774
432	0.1791818363
433	0.1790851299
434	0.17900269
435	0.1789215128
436	0.1788748718
437	0.1788389942
438	0.178679993
439	0.1786140174
440	0.1785422843
441	0.1785022468
442	0.1784461681
443	0.1783678457
444	0.1783215756
445	0.1781519238
446	0.1781132223
447	0.1780184905
448	0.17797611
449	0.1779170303
450	0.1778798215
451	0.1778493397
452	0.17769157
453	0.1776316091
454	0.1775463148
455	0.1775202961
456	0.1774970069
457	0.1774234566
458	0.1773429044
459	0.1773155678
460	0.1772734435
461	0.1772299199
462	0.1771558455
463	0.177016048
464	0.1769225608
465	0.1768965415
466	0.1768456259
467	0.1768210881
468	0.1767452512
469	0.1767052031
470	0.1766485755
471	0.1766163043
472	0.1765432366
473	0.1764222497
474	0.1763762249
475	0.1763121087
476	0.1762371462
477	0.1761832455
478	0.1761403745
479	0.176090005
480	0.1760105003
481	0.1759469076
482	0.1758355738
483	0.1757627398
484	0.175672667
485	0.1755956853
486	0.1755201374
487	0.1754607366
488	0.1754205919
489	0.1753523388
490	0.1752837769
491	0.1751629036
492	0.1751122407
493	0.1750630079
494	0.1750311807
495	0.1750032206
496	0.1749470806
497	0.1748124697
498	0.1747891778
499	0.174724817
500	0.1746448094
501	0.1746060436
502	0.1745422882
503	0.1744859152
504	0.1744380119
505	0.1743781346
506	0.174330965
507	0.1742622613
508	0.1741786123
509	0.1741565534
510	0.1741181692
511	0.1740503977
512	0.1739933539
513	0.1739671178
514	0.1739148329
515	0.1738650929
516	0.1737985722
517	0.1737521781
518	0.1736563445
519	0.1736210648
520	0.1735147835
521	0.1734924075
522	0.1734695579
523	0.1733979333
524	0.17334536
525	0.173291318
526	0.1732313316
527	0.1731443203
528	0.1731033206
529	0.1729851984
530	0.1729320057
531	0.1728679134
532	0.1728228941
533	0.1727254304
534	0.1726657048
535	0.1726217505
536	0.1725344109
537	0.1724372874
538	0.1723728157
539	0.1723317795
540	0.1722895941
541	0.1722489474
542	0.1722118852
543	0.1721634232
544	0.1721178302
545	0.1720662638
546	0.1720215126
547	0.1719978503
548	0.171940623
549	0.1718965591
550	0.1718358083
551	0.1717930373
552	0.1717480053
553	0.1716882021
554	0.1715527937
555	0.171488981
556	0.1714165572
557	0.1713585875
558	0.1712981784
559	0.171246714
560	0.1711697175
561	0.1710818509
562	0.1710295058
563	0.170989576
564	0.1709663508
565	0.170906685
566	0.1708448985
567	0.170772866
568	0.1707143476
569	0.1706686822
570	0.1706171351
571	0.1705960518
572	0.1705549554
573	0.1705121422
574	0.1704845132
575	0.1703546558
576	0.1703079477
577	0.1702694194
578	0.1702076453
579	0.1701635045
580	0.1701148162
581	0.170071805
582	0.1700300905
583	0.1699725643
584	0.1699289846
585	0.1698753419
586	0.1698592335
587	0.1698394153
588	0.169799815
589	0.1697197564
590	0.1696419633
591	0.1695826912
592	0.1695438842
593	0.169508268
594	0.1694713106
595	0.1694214813
596	0.1693688726
597	0.1693039432
598	0.1692502857
599	0.1691956171
600	0.1691693341
601	0.1691163215
602	0.1690837606
603	0.1690516277
604	0.1689935008
605	0.1689602695
606	0.1689223297
607	0.1688494717
608	0.1688169552
609	0.1687494588
610	0.1686787993
611	0.1686540155
612	0.1686204753
613	0.1685625176
614	0.1685368725
615	0.1685054668
616	0.1684472727
617	0.1683883034
618	0.1683530723
619	0.1682759301
620	0.1682273678
621	0.1681999348
622	0.1681600892
623	0.1681405635
624	0.168106555
625	0.168068907
626	0.1680385879
627	0.1679785359
628	0.1679060742
629	0.1678878238
630	0.1678512777
631	0.1678184621
632	0.1677789616
633	0.1677349771
634	0.1676721108
635	0.1676392841
636	0.1676110237
637	0.1675482472
638	0.1674593633
639	0.1674147684
640	0.1673804263
641	0.1673494423
642	0.1672752937
643	0.1672291005
644	0.1671878508
645	0.1671255403
646	0.1671012808
647	0.1670646273
648	0.1670258287
649	0.1669918071
650	0.166925416
651	0.1668866035
652	0.1668643766
653	0.1668181821
654	0.1667637089
655	0.1667050311
656	0.1666718335
657	0.1666544071
658	0.1666027636
659	0.1665789056
660	0.16650333
661	0.1664551744
662	0.1663959038
663	0.1663601682
664	0.1662928113
665	0.1662528631
666	0.1662254947
667	0.1662116679
668	0.1661435812
669	0.1661019092
670	0.1660225653
671	0.1659723151
672	0.1659210003
673	0.1658400178
674	0.1657978668
675	0.1657473295
676	0.1655609248
677	0.1655146809
678	0.165462566
679	0.1654086549
680	0.1653850186
681	0.1653004505
682	0.165247767
683	0.1652151763
684	0.1651465402
685	0.1650960643
686	0.165068756
687	0.1649892987
688	0.1649560028
689	0.1649223867
690	0.1648889835
691	0.164858168
692	0.1647649858
693	0.164713656
694	0.1646535957
695	0.1646335223
696	0.1645774668
697	0.1645548356
698	0.1644941199
699	0.1644640289
700	0.1644310386
701	0.1644011587
702	0.1643815797
703	0.1643309589
704	0.1642722968
705	0.1642580333
706	0.1642052615
707	0.1641772505
708	0.1640936013
709	0.1640564484
710	0.1640114383
711	0.1639766904
712	0.163899451
713	0.1638599171
714	0.1638269898
715	0.1637550254
716	0.163702868
717	0.1636681758
718	0.1636259383
719	0.1635830167
720	0.1635052799
721	0.1634741528
722	0.1634421549
723	0.1634036767
724	0.1633548138
725	0.1633154004
726	0.1632620112
727	0.163216374
728	0.1631876267
729	0.1631564896
730	0.1630673346
731	0.1630448443
732	0.1630223596
733	0.1629782159
734	0.1629491012
735	0.1629190467
736	0.1628294817
737	0.1628083614
738	0.1627919159
739	0.1627674349
740	0.162720712
741	0.1626767143
742	0.1626461166
743	0.1625949098
744	0.1625522513
745	0.162500675
746	0.1624563488
747	0.162418089
748	0.1623995201
749	0.1623421547
750	0.1623196519
751	0.1622784132
752	0.1622279064
753	0.1621883817
754	0.1621566715
755	0.1621131008
756	0.1620938759
757	0.1620719445
758	0.1620602545
759	0.1620176269
760	0.1619700437
761	0.161901998
762	0.1618610572
763	0.1618141714
764	0.1617463267
765	0.1617103568
766	0.1616453908
767	0.1615939828
768	0.1615762394
769	0.1614818773
770	0.1614325097
771	0.1613518287
772	0.1612644137
773	0.1611809266
774	0.161136077
775	0.1610883549
776	0.1610496617
777	0.1609893862
778	0.1609478331
779	0.1609100322
780	0.1608628586
781	0.1608183878
782	0.1607828439
783	0.1607417231
784	0.1606971493
785	0.1606343188
786	0.1605996633
787	0.1605637536
788	0.1605247375
789	0.1604739137
790	0.1603986526
791	0.1603673648
792	0.1603342109
793	0.1602989975
794	0.1602328744
795	0.1601786532
796	0.1601480117
797	0.1601242812
798	0.1600804649
799	0.1599985031
800	0.1599317742
801	0.159815205
802	0.1597769851
803	0.1597455821
804	0.1596977126
805	0.1596653242
806	0.1596297103
807	0.1596043563
808	0.1595612379
809	0.1595334881
810	0.159512321
811	0.1594844125
812	0.1594093142
813	0.1593670925
814	0.1593044529
815	0.1592709233
816	0.1592375865
817	0.159164495
818	0.1591319465
819	0.1591021426
820	0.1590640061
821	0.1590373592
822	0.1589889909
823	0.1589521274
824	0.1588714098
825	0.1588398419
826	0.1587821546
827	0.1587558109
828	0.1587147947
829	0.1586895808
830	0.1586583104
831	0.1586175527
832	0.1585818777
833	0.1585281409
834	0.1584911729
835	0.1584075555
836	0.1583909694
837	0.1583554695
838	0.1583157632
839	0.158279479
840	0.158215748
841	0.158176205
842	0.1581525656
843	0.1581284565
844	0.1581102482
845	0.1580605247
846	0.1580333956
847	0.1579753417
848	0.1579480291
849	0.1579009414
850	0.1578660955
851	0.1578318814
852	0.1577936176
853	0.1577379806
854	0.1576957801
855	0.1576215742
856	0.1575950928
857	0.1575115276
858	0.1574804794
859	0.1573912836
860	0.1573664858
861	0.1573105948
862	0.1572824091
863	0.1572450754
864	0.157201248
865	0.1571455693
866	0.1571019798
867	0.1570630144
868	0.1570209339
869	0.1569843901
870	0.1569563562
871	0.1569234927
872	0.1568950736
873	0.1568662404
874	0.1568277027
875	0.1568116753
876	0.1567890538
877	0.1567716881
878	0.1567499664
879	0.1566729816
880	0.1566603282
881	0.1565743842
882	0.1565420656
883	0.1565119331
884	0.1564761575
885	0.1564371469
886	0.1563974126
887	0.1563598384
888	0.1563198801
889	0.156293537
890	0.1562813908
891	0.1562696276
892	0.1561974042
893	0.1561552514
894	0.1561280856
895	0.1560886303
896	0.156042505
897	0.1560305666
898	0.1559883004
899	0.155968416
900	0.1559348551
901	0.155901388
902	0.155881447
903	0.1558063815
904	0.1556625935
905	0.1556268215
906	0.1556021496
907	0.1555866283
908	0.1555194114
909	0.1554662249
910	0.1554494328
911	0.1553791664
912	0.1553410828
913	0.155294431
914	0.155255794
915	0.1552308178
916	0.1551755434
917	0.1551398481
918	0.1551064884
919	0.1550642259
920	0.1550056734
921	0.1549758501
922	0.1549257494
923	0.1548933485
924	0.15487261
925	0.1548379056
926	0.1547691374
927	0.1546635814
928	0.1546058741
929	0.1545676795
930	0.1545224226
931	0.1544976752
932	0.1544556686
933	0.1544184843
934	0.1544036852
935	0.1543428623
936	0.1542989821
937	0.1542802191
938	0.1542336907
939	0.1541928748
940	0.1541422022
941	0.1541112991
942	0.1540776426
943	0.1540340848
944	0.1540044265
945	0.1539549679
946	0.1538834564
947	0.153855031
948	0.1538282292
949	0.153805598
950	0.1537550745
951	0.1537299502
952	0.1536991209
953	0.1536879727
954	0.1536358967
955	0.1535516796
956	0.1534956955
957	0.1534556497
958	0.1534081487
959	0.1533845657
960	0.1532869307
961	0.1532294302
962	0.1531944596
963	0.1531208326
964	0.153078353
965	0.1530335686
966	0.1529562657
967	0.1529264298
968	0.1529013682
969	0.1528406741
970	0.1527751108
971	0.1527453158
972	0.1527311533
973	0.1526746143
974	0.1526382736
975	0.1525970195
976	0.1525524247
977	0.1525123499
978	0.1524900264
979	0.152438317
980	0.1524156043
981	0.1524043243
982	0.152375857
983	0.1523533698
984	0.1523365256
985	0.1522888231
986	0.152265257
987	0.1522335823
988	0.1522194462
989	0.1521692884
990	0.1520802168
991	0.1520419269
992	0.1520234482
993	0.1519992483
994	0.1519558037
995	0.1519092327
996	0.151892822
997	0.1518619887
998	0.1517898447
999	0.151741416
